,X,Y,Z,Cluster,ClusterZ
123960,-7.588749971112899,33.5537500585752,16235.1455078125,2,2
123961,-7.580416637812899,33.5537500585752,22027.939453125,2,2
123962,-7.5720833045128995,33.5537500585752,25375.443359375,2,2
123963,-7.563749971212901,33.5537500585752,14707.0869140625,2,2
123964,-7.5554166379128995,33.5537500585752,41480.11328125,1,1
123965,-7.5470833046129,33.5537500585752,57819.68359375,4,4
123966,-7.5387499713129,33.5537500585752,45243.8046875,1,1
123967,-7.530416638012899,33.5537500585752,37545.20703125,1,1
123968,-7.522083304712899,33.5537500585752,21160.072265625,2,2
123969,-7.513749971412899,33.5537500585752,28291.337890625,1,1
123970,-7.505416638112899,33.5537500585752,11296.759765625,0,3
123971,-7.497083304812899,33.5537500585752,4350.6357421875,3,0
123972,-7.488749971512899,33.5537500585752,7569.27099609375,0,3
123973,-7.480416638212899,33.5537500585752,7025.15673828125,0,3
123974,-7.472083304912899,33.5537500585752,2658.13916015625,3,0
123975,-7.463749971612899,33.5537500585752,1655.1163330078125,3,0
123976,-7.455416638312901,33.5537500585752,1290.297119140625,3,0
123977,-7.4470833050128995,33.5537500585752,2578.63720703125,3,0
123978,-7.438749971712901,33.5537500585752,1003.88134765625,3,0
123979,-7.4304166384129,33.5537500585752,424.5511474609375,3,0
123980,-7.422083305112899,33.5537500585752,269.1156005859375,3,0
123981,-7.4137499718129,33.5537500585752,126.64884948730467,3,0
124683,-7.738749970512899,33.545416725275196,2584.24658203125,3,0
124684,-7.730416637212899,33.545416725275196,2668.90771484375,3,0
124685,-7.722083303912899,33.545416725275196,4333.17626953125,3,0
124686,-7.713749970612899,33.545416725275196,5508.65869140625,0,3
124687,-7.705416637312899,33.545416725275196,5070.92529296875,0,3
124688,-7.697083304012899,33.545416725275196,7524.1416015625,0,3
124689,-7.688749970712899,33.545416725275196,11091.1787109375,0,3
124690,-7.6804166374128995,33.545416725275196,12120.130859375,0,3
124691,-7.672083304112901,33.545416725275196,9866.6298828125,0,3
124692,-7.6637499708128995,33.545416725275196,8550.2265625,0,3
124693,-7.655416637512899,33.545416725275196,7349.35400390625,0,3
124694,-7.6470833042129,33.545416725275196,7374.35009765625,0,3
124695,-7.638749970912899,33.545416725275196,11956.3681640625,0,3
124696,-7.630416637612899,33.545416725275196,13794.2548828125,2,2
124697,-7.622083304312899,33.545416725275196,13793.4091796875,2,2
124698,-7.613749971012899,33.545416725275196,10953.8076171875,0,3
124699,-7.605416637712899,33.545416725275196,17040.771484375,2,2
124700,-7.597083304412899,33.545416725275196,22412.685546875,2,2
124701,-7.588749971112899,33.545416725275196,25614.322265625,2,2
124702,-7.580416637812899,33.545416725275196,29230.591796875,1,1
124703,-7.5720833045128995,33.545416725275196,23788.890625,2,2
124704,-7.563749971212901,33.545416725275196,10189.57421875,0,3
124705,-7.5554166379128995,33.545416725275196,20595.626953125,2,2
