,X,Y,Z,bbox_north,bbox_south,bbox_east,bbox_west,place_id,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstyp,name,display_na
32,-7.6304166376129,33.6037500583752,3435.51318359375,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
33,-7.6220833043129,33.6037500583752,3507.79296875,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
34,-7.6137499710129,33.6037500583752,4229.40771484375,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
35,-7.6054166377129,33.6037500583752,8811.673828125,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
36,-7.5970833044129,33.6037500583752,7929.7841796875,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
37,-7.5887499711129,33.6037500583752,9851.1865234375,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
38,-7.5804166378129,33.6037500583752,11236.4365234375,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
39,-7.5720833045129,33.6037500583752,14554.6279296875,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
40,-7.5637499712129,33.6037500583752,17086.62890625,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
41,-7.5554166379129,33.6037500583752,16470.880859375,33.6409103,33.4937724,-7.4574165,-7.746445,288155221,relation,4072985,33.5945144,-7.6200284,boundary,administrative,16,0.617324639624968,city,Casablanca,"Casablanca, préfecture d'arrondissements de Casablanca-Anfa ????? ??????? ????? ??????? ????, Pachalik de Casablanca, Prefecture of Casablanca, Casablanca-Settat, Morocco"
