,id,y,x,name,type,category,surface,parking,KMcluster10,complete_name,Population_inf_1_Km,nombre_de_voisins,index_voisins
56,5618306120,33.5930481,-7.5174715,Plus,node,Super Market,100,,0.0,"Super Market Plus at -7.5174715 , 33.5930481",75332.958984375,1,[46]
57,5633523498,33.588586,-7.6110077,Asia Supermarche,node,Super Market,250,,4.0,"Super Market Asia Supermarché at -7.6110077 , 33.588586",37668.82080078125,14,"[35, 41, 58, 59, 60, 64, 69, 109, 113, 121, 125, 127, 173, 179]"
58,5657167238,33.5879069,-7.6125249,Acima,node,Super Market,250,,4.0,"Super Market Acima at -7.6125249 , 33.5879069",26931.63134765625,14,"[35, 41, 57, 59, 60, 64, 69, 109, 113, 121, 125, 173, 179, 218]"
59,5657167250,33.588499,-7.6144239,my SuperMarket,node,Super Market,1500,,4.0,"Super Market my SuperMarket at -7.6144239 , 33.588499",26931.63134765625,11,"[33, 35, 41, 57, 58, 60, 82, 109, 113, 173, 218]"
60,5657171554,33.59444,-7.6086746,Marjane,node,Super Market,1500,,4.0,"Super Market Marjane at -7.6086746 , 33.59444",37668.82080078125,20,"[33, 35, 57, 58, 59, 63, 64, 69, 86, 109, 111, 113, 125, 127, 129, 164, 173, 190, 213, 218]"
61,5700510319,33.5842229,-7.6375868,Bim,node,Super Market,250,,1.0,"Super Market Bim at -7.6375868 , 33.5842229",33774.73950195313,13,"[4, 10, 12, 21, 30, 40, 102, 106, 134, 153, 214, 220, 221]"
62,6027845069,33.5553862,-7.6997912,Bim,node,Super Market,250,,5.0,"Super Market Bim at -7.6997912 , 33.5553862",22565.009033203132,0,[]
63,6051578742,33.5926838,-7.6011795,Carrefour Market,node,Super Market,1500,,4.0,"Super Market Carrefour Market at -7.6011795 , 33.5926838",56211.9990234375,20,"[1, 34, 55, 60, 64, 69, 86, 89, 111, 112, 113, 114, 123, 124, 125, 127, 128, 129, 172, 190]"
64,6051578743,33.586847,-7.6033536,Bim,node,Super Market,250,,4.0,"Super Market Bim at -7.6033536 , 33.586847",45727.166015625,24,"[23, 35, 41, 55, 57, 58, 60, 63, 69, 86, 89, 111, 112, 113, 114, 120, 121, 122, 123, 124, 125, 127, 172, 179]"
65,6260970486,33.5998615,-7.6374127,BIM,node,Super Market,250,,1.0,"Super Market BIM at -7.6374127 , 33.5998615",18364.531982421868,13,"[11, 12, 13, 15, 26, 27, 66, 67, 104, 115, 116, 132, 142]"
66,6260970985,33.6019964,-7.6380539,BIM,node,Super Market,250,,1.0,"Super Market BIM at -7.6380539 , 33.6019964",13037.79418945312,11,"[11, 13, 15, 27, 65, 67, 104, 115, 116, 132, 142]"
67,6260971085,33.6008678,-7.6355528,Otob,node,Super Market,100,,1.0,"Super Market Otob at -7.6355528 , 33.6008678",15868.81591796875,12,"[11, 13, 15, 26, 27, 65, 66, 104, 115, 116, 132, 142]"
68,6411471543,33.5343791,-7.7254623,BIM,node,Super Market,250,,5.0,"Super Market BIM at -7.7254623 , 33.5343791",26767.73779296875,2,"[165, 186]"
69,6427695686,33.5944393,-7.6061698,my SuperMarket,node,Super Market,1500,,4.0,"Super Market my SuperMarket at -7.6061698 , 33.5944393",48153.65380859375,17,"[33, 35, 57, 58, 60, 63, 64, 86, 109, 111, 113, 125, 127, 129, 164, 190, 213]"
70,6567406902,33.5189452,-7.6444846,Bim,node,Super Market,250,,7.0,"Super Market Bim at -7.6444846 , 33.5189452",31427.70068359375,2,"[71, 72]"
71,6593067875,33.5217794,-7.6455492,Epicier Oujdi,node,Super Market,100,,7.0,"Super Market Epicier Oujdi at -7.6455492 , 33.5217794",59340.55908203125,3,"[70, 72, 73]"
72,6593157471,33.5147228,-7.6453389,BIM,node,Super Market,250,,7.0,"Super Market BİM at -7.6453389 , 33.5147228",40210.05322265625,2,"[70, 71]"
73,6593304003,33.5275334,-7.649661,Bim,node,Super Market,250,,7.0,"Super Market Bim at -7.649661 , 33.5275334",47614.634765625,1,[71]
74,7081606785,33.5845244,-7.5545517,my supermarket,node,Super Market,100,,0.0,"Super Market سوق السلام at -7.5545517 , 33.5845244",82867.0625,1,[166]
75,7099431252,33.4753036,-7.6069947,Marjane,node,Super Market,1500,,7.0,"Super Market Marjane at -7.6069947 , 33.4753036",7895.05224609375,0,[]
76,7168679419,33.612414,-7.499001,Bim,node,Super Market,250,,6.0,"Super Market Bim at -7.499001 , 33.612414",47651.81103515625,1,[90]
77,7168974694,33.6180007,-7.4804327,BIM,node,Super Market,250,,6.0,"Super Market BİM at -7.4804327 , 33.6180007",31779.0771484375,1,[39]
78,7169432350,33.6028221,-7.51024,Bim,node,Super Market,250,,6.0,"Super Market Bim at -7.51024 , 33.6028221",56070.6513671875,0,[]
79,7169432352,33.6085701,-7.5204759,BIM,node,Super Market,250,,0.0,"Super Market BİM at -7.5204759 , 33.6085701",43822.49853515625,1,[105]
80,7506518473,33.5660726,-7.6386639,marche riviera,node,Super Market,100,,1.0,"Super Market marché riviera at -7.6386639 , 33.5660726",59294.048828125,3,"[83, 107, 180]"
81,7524700685,33.5337483,-7.5561429,alimentation general ZAHRI,node,Super Market,100,,9.0,"Super Market alimentation général ZAHRI at -7.5561429 , 33.5337483",53302.17529296875,1,[31]
